"","lon","lat"
"1",123.984633404172,10.412141128696
"2",123.984808505654,10.4106536132063
"3",123.984777634499,10.4082410668542
"4",123.985216110359,10.4052876018802
"5",123.985630545316,10.4025274733621
"6",123.986024473185,10.3992330901015
"7",123.986619942662,10.3961429859444
"8",123.986884683229,10.3946930189159
"9",123.987244873882,10.3915937510777
"10",123.987651937022,10.3898119665893
"11",123.988013592172,10.3873184092075
"12",123.988621361655,10.3852861855838
"13",123.989542626713,10.3838335966103
"14",123.990541964795,10.3828636532253
"15",123.99285040622,10.3830464847271
"16",123.994020616565,10.3824080248242
"17",123.99557146386,10.3824607962776
"18",123.998164175004,10.3826423953454
"19",124.002079893229,10.3833220019091
"20",124.006205561802,10.3837624725522
"21",124.013212178918,10.3842199329243
"22",124.014661808693,10.3872157656577
"23",124.014059002088,10.3876341562684
"24",124.013265263519,10.3880567911878
"25",124.011999721095,10.3886629128827
"26",124.010140111436,10.3900129041657
"27",124.008770958882,10.39102561757
"28",124.00777576806,10.3917141579541
"29",124.00706794215,10.392256656153
"30",124.006233799323,10.3928048931192
"31",124.006223995616,10.3935647191396
"32",124.005258098141,10.39433172882
"33",124.004630637043,10.3947812351973
"34",124.0041956592,10.3950707140591
"35",124.003718397443,10.3954069235863
"36",124.003317893258,10.3957044214758
"37",124.002874113387,10.3958675634404
"38",124.002347620462,10.3960815703557
"39",124.001901236255,10.3961669915375
"40",124.001093251517,10.3960389251228
"41",124.000496994159,10.3956555382845
"42",123.999893607779,10.3956524032903
"43",123.999376981585,10.3954455735181
"44",123.999058748016,10.3947464335582
"45",123.998670138254,10.394209043172
"46",123.99839098564,10.3935158511851
"47",123.998304919651,10.3928438075131
"48",123.998701596433,10.3919411039969
"49",123.998938868227,10.3909834375952
"50",123.998843232478,10.3898581152765
"51",123.998942070573,10.3889331823521
"52",123.998970865952,10.3880854064178
"53",123.999107258545,10.3873188375644
"54",123.998889705444,10.3866290112928
"55",123.998839488045,10.38608651066
"56",123.998159917421,10.3859854472223
"57",123.997549068719,10.3859854603065
"58",123.996905278742,10.3854175178096
"59",123.996395408609,10.3850871229791
"60",123.995920862896,10.3852189276019
"61",123.996613949003,10.3854839064563
"62",123.996236776287,10.3857171505598
"63",123.996242622065,10.3861538811259
"64",123.996547812427,10.3863570415595
"65",123.996516699258,10.3868342412477
"66",123.996142118807,10.3868694782185
"67",123.995840941705,10.386561271839
"68",123.99535868261,10.3867317657135
"69",123.994983061313,10.3875284229826
"70",123.994429289611,10.3875288984262
"71",123.994077594981,10.386698394304
"72",123.993824518777,10.3864249532194
"73",123.99290242203,10.3864933042884
"74",123.992013097311,10.3866638532857
"75",123.991221354897,10.386835529803
"76",123.990451242248,10.3873543389266
"77",123.989951496813,10.3877389708824
"78",123.989528522398,10.3883744218913
"79",123.989739049975,10.3891659793152
"80",123.98941457095,10.3895670625192
"81",123.989185130941,10.3898244485295
"82",123.988852978102,10.3900092116611
"83",123.988552540694,10.3909075352173
"84",123.988939119895,10.3915937431325
"85",123.989164392821,10.3923691333593
"86",123.989601630166,10.3930788155968
"87",123.990197437736,10.3941244861514
"88",123.990343474331,10.3950700925446
"89",123.990475213834,10.3955714860126
"90",123.990886493461,10.3961584215644
"91",123.991652324509,10.3964263027007
"92",123.991979632552,10.3968063044863
"93",123.992857010653,10.3973707850333
"94",123.99385778366,10.3976336280688
"95",123.994250134189,10.3969388840182
"96",123.994829811221,10.3963805605412
"97",123.995053457817,10.3952366339337
"98",123.99540840573,10.3944043967388
"99",123.99580867316,10.3943265135733
"100",123.99653156207,10.3942416368242
"101",123.996910758857,10.3944510595782
"102",123.997304136561,10.3951541334236
"103",123.997710118488,10.3957055765927
"104",123.998057478443,10.3960396195806
"105",123.998327639586,10.3963339005254
"106",123.998683942931,10.39654599643
"107",123.9994754003,10.3960359063457
"108",124.000072347078,10.3963745559823
"109",124.000554533083,10.3965487369407
"110",124.001407810756,10.3966712499611
"111",124.002220039766,10.3969339098807
"112",124.002463147937,10.3973270531625
"113",124.002295817665,10.3978096400425
"114",124.002126367143,10.3983418431453
"115",124.002286900633,10.3991516524577
"116",124.002109925659,10.4002992681252
"117",124.001888705843,10.4011913005837
"118",124.001145680607,10.4020994873408
"119",124.000556970358,10.4032706530518
"120",124.000046404071,10.4043206501184
"121",123.999652144361,10.4055986620368
"122",123.999224364277,10.4063238378714
"123",123.99886814422,10.4074246140115
"124",123.99887196319,10.4085055224923
"125",123.998995887261,10.410030339491
"126",123.998800928795,10.4114597931372
"127",123.998369239986,10.4127456034981
"128",123.998378464698,10.4125129888175
"129",123.998596328062,10.4142547297484
"130",123.984633404172,10.412141128696
